id,name,route_code,route_name,lat,long
3728732,چناران - مشهد (چناران - گلبهار),313952,چناران - مشهد (چناران - گلبهار),36.595139,59.199275
9000207,,313953,قوچان - چناران (پردازش دوربين نظارتي),36.967877,58.640457
3728733,چناران - قوچان,313954,چناران - قوچان,36.967877,58.640457
9000208,,313955,قوچان - چناران,36.967877,58.640457
3728734,فاروج - قوچان (قوچان),313959,فاروج - قوچان,37.172754,58.309561
3728735,درگز - قوچان (امام قلي - قوچان),313960,درگز - قوچان (امام قلي - قوچان),37.38565,58.52816
3728736,باجگيران - قوچان (باجگيران - امام قلي),313961,باجگيران - قوچان (باجگيران - امام قلي),37.53191,58.4219
3728738,خواف - تايباد (خواف),314101,خواف - تايباد,34.449158,60.218353
3728887,خواف - قائن (فرخي),314102,خواف - قائن,34.011009,59.747623
3728737,خواف - رشتخوار,314104,خواف-رشتخوار,34.842325,59.788369
3728738,خواف - تايباد (خواف),314105,خواف - تايباد (خواف),34.449158,60.218353
3728739,خواف - قائن (مرز استان),314106,خواف - قائن (مرز استان),34.180501,59.945884
3728741,تايباد - خواف (خواف),314151,تايباد - خواف,34.449158,60.218353
3728883,قائن - خواف (فرخي),314152,قائن - خواف,34.011009,59.747623
3728740,رشتخوار - خواف,314154,رشتخوار- خواف,34.842325,59.788369
3728741,تايباد - خواف (خواف),314155,تايباد - خواف (خواف),34.449158,60.218353
3728742,قائن - خواف (مرز استان),314156,قائن - خواف (مرز استان),34.180501,59.945884
3728743,درگز - قوچان (درگز - امام قلي),314201,درگز - قوچان (درگز - امام قلي),37.550469,58.91388
3728744,درگز-لطف آباد,314202,درگز-لطف آباد,37.503435,59.252555
3728745,درگز - کلات (کيلومتر 13),314203,درگز - کلات (کيلومتر 13),37.055136,59.628731
3728746,قوچان - درگز (امام قلي - درگز),314251,قوچان - درگز (امام قلي - درگز),37.550469,58.91388
3728747,لطف آباد-درگز,314252,لطف آباد-درگز,37.503435,59.252555
3728748,کلات - درگز (کيلومتر 13),314253,کلات - درگز (کيلومتر 13),37.055136,59.628731
3728749,سبزوار - بردسکن (سبزوار),314301,سبزوار - بردسکن,36.177533,57.697125
3728750,سبزوار - شاهرود (سبزوار - داورزن),314302,سبزوار - شاهرود (سبزوار - داورزن),36.33525,56.944789
3728751,سبزوار - قوچان (سبزوار - سلطان‌آباد),314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),36.232756,57.725308
3728752,سبزوار - اسفراين (سبزوار),314304,سبزوار - اسفراين,36.222264,57.651522
3728753,قوچان - سبزوار (سه‌راه چکنه - سلطان‌آباد),314305,قوچان - سبزوار (سه‌راه چکنه - سلطان‌آباد),36.9470694,58.6504389
3728785,سبزوار - نيشابور (نيشابور),314320,سبزوار - نيشابور,36.182897,58.652641
3728755,بردسکن - سبزوار (سبزوار),314351,بردسکن - سبزوار,36.177533,57.697125
3728756,شاهرود - سبزوار (داورزن - سبزوار),314352,شاهرود - سبزوار (داورزن - سبزوار),36.33525,56.944789
3728757,قوچان - سبزوار (سلطان‌آباد - سبزوار),314353,قوچان - سبزوار (سلطان‌آباد - سبزوار),36.232756,57.725308
3728758,اسفراين - سبزوار (سبزوار),314354,اسفراين - سبزوار,36.222264,57.651522
3728759,سبزوار - قوچان (سلطان‌آباد - سه‌راه چکنه),314355,سبزوار - قوچان (سلطان‌آباد - سه‌راه چکنه),36.9470694,58.6504389
3728760,نيشابور - سبزوار (زعفرانيه),314370,نيشابور - سبزوار (زعفرانيه),36.169184,58.083529
3728761,فردوس - بجستان (بجستان),314701,فردوس - بجستان,34.492059,58.193207
3728762,بجستان - فردوس (بجستان),314751,بجستان - فردوس,34.492059,58.193207
3728763,فريمان - تربت‌جام (فريمان),314801,فريمان - تربت‌جام (فريمان),35.62152,59.977119
3728764,تربت‌جام - فريمان (فريمان),314851,تربت‌جام - فريمان (فريمان),35.62152,59.977119
9000209,,315304,درونه-شاهرود,35.1612139,57.045629
3728765,بردسکن - شاهرود (بردسکن),315305,بردسکن - شاهرود,35.163702,57.395038
9000210,,315354,شاهرود-درونه,35.1612139,57.045629
3728766,شاهرود - بردسکن (بردسکن),315355,شاهرود - بردسکن,35.163702,57.395038
3728767,شادمهر - کاشمر,315401,شادمهر - کاشمر,35.2348,58.6301694
3728768,کاشمر - بردسکن,315402,کاشمر - بردسکن,35.247874,58.139786
3728769,کاشمر - شادمهر,315451,کاشمر - شادمهر,35.2348,58.6301694
3728770,بردسکن - کاشمر,315452,بردسکن - کاشمر,35.247874,58.139786
3728771,گناباد - فردوس (گناباد),315501,گناباد - فردوس,34.23044,58.5952
3728772,گناباد - قائن (گناباد),315502,گناباد - قائن,34.2153,58.79949
3728773,گناباد - مهنه (مهنه),315503,گناباد - مهنه (مهنه),34.56315,58.703794
3728774,گناباد - بجستان (گناباد),315504,گناباد - بجستان,34.3714778,58.6439889
3728775,بجستان - بردسکن (سردق),315505,بجستان - بردسکن,34.670819,58.205193
3728776,فردوس - گناباد (گناباد),315551,فردوس - گناباد,34.23044,58.5952
3728777,قائن - گناباد (گناباد),315552,قائن - گناباد,34.2153,58.79949
3728778,مهنه - گناباد (مهنه),315553,مهنه - گناباد (مهنه),34.56315,58.703794
